"","Vēsture","Rīgas Lietuviešu vidusskola","79.84"
"","Matem.","Rīgas Lietuviešu vidusskola","51.83"
"","Angļu v.","Rīgas Mūzikas internātvidusskola","48.68"
"","Krievu v.","Rīgas Mūzikas internātvidusskola","61.34"
"","Latv. val.","Rīgas Mūzikas internātvidusskola","54.55"
"","Matem.","Rīgas Mūzikas internātvidusskola","20.88"
"","Angļu v.","Rīgas Natālijas Draudziņas vidusskola ","74.4"
"","Bio.","Rīgas Natālijas Draudziņas vidusskola ","70.56"
"","Fiz.","Rīgas Natālijas Draudziņas vidusskola ","64.33"
"","Krievu v.","Rīgas Natālijas Draudziņas vidusskola ","73.62"
"","Latv. val.","Rīgas Natālijas Draudziņas vidusskola ","69.29"
"","Vēsture","Rīgas Natālijas Draudziņas vidusskola ","57.36"
"","Matem.","Rīgas Natālijas Draudziņas vidusskola ","44.56"
"","Angļu v.","Rīgas Ostvalda vidusskola","69.65"
"","Bio.","Rīgas Ostvalda vidusskola","60.67"
"","Fiz.","Rīgas Ostvalda vidusskola","56"
"","Ķīm.","Rīgas Ostvalda vidusskola","59.6"
"","Latv. val.","Rīgas Ostvalda vidusskola","41.99"
"","Vēsture","Rīgas Ostvalda vidusskola","79.44"
"","Matem.","Rīgas Ostvalda vidusskola","51.19"
"","Latv. val. 9.kl.","Rīgas Ostvalda vidusskola","70.31"
"","Latv. val. 9.kl.","Rīgas Pārdaugavas pamatskola","60.35"
